L,d,rank,index,nullity,positive
12,18,1,0,198,18
12,18,2,11,187,18
12,18,3,22,176,18
12,18,4,33,165,18
12,18,5,44,154,18
12,18,6,55,143,18
12,18,7,66,132,18
12,18,8,77,121,18
12,18,9,88,110,18
12,18,10,99,99,18
12,18,11,110,88,18
12,18,12,121,77,18
